Uhrzeit;Schritte;Aktivitätstyp;Intensität;Präzise Intensität
17.11.2015 09:14;;Ruhen;0;8
17.11.2015 09:33;103;Gehen;20;70
17.11.2015 09:35;;Ruhen;60;200
17.11.2015 09:36;46;Gehen;20;70
17.11.2015 09:38;;Ruhen;50;168
17.11.2015 09:39;;Ruhen;0;8
17.11.2015 09:45;;Ruhen;20;72
17.11.2015 09:46;;Ruhen;0;8
17.11.2015 09:55;;Ruhen;0;8
17.11.2015 09:56;;Ruhen;20;72
17.11.2015 09:58;;Ruhen;0;8
17.11.2015 10:07;;Ruhen;0;8
17.11.2015 10:36;;Ruhen;0;8
17.11.2015 10:51;;Ruhen;0;8
17.11.2015 11:06;;Ruhen;0;8
17.11.2015 11:21;;Ruhen;0;8
17.11.2015 11:36;;Ruhen;0;8
17.11.2015 12:40;;Ruhen;30;104
17.11.2015 12:41;199;Gehen;30;102
17.11.2015 12:43;205;Gehen;20;70
17.11.2015 12:45;310;Gehen;20;70
17.11.2015 12:49;;Ruhen;70;232
17.11.2015 12:50;68;Gehen;20;70
17.11.2015 12:53;;Ruhen;50;168
17.11.2015 12:54;;Ruhen;0;8
17.11.2015 13:02;;Ruhen;0;8
17.11.2015 13:20;;Ruhen;20;72
17.11.2015 13:21;430;Gehen;20;70
17.11.2015 13:26;;Ruhen;60;200
17.11.2015 13:28;;Ruhen;0;8
17.11.2015 13:37;;Ruhen;40;136
17.11.2015 13:38;569;Gehen;20;70
17.11.2015 13:45;723;Gehen;20;70
17.11.2015 13:52;;Ruhen;70;232
17.11.2015 13:53;;Ruhen;0;8
17.11.2015 13:56;;Ruhen;20;72
17.11.2015 13:58;;Ruhen;0;8
17.11.2015 14:00;;Ruhen;20;72
17.11.2015 14:05;;Ruhen;0;8
17.11.2015 14:06;;Ruhen;30;104
17.11.2015 14:07;;Ruhen;0;8
17.11.2015 14:10;;Ruhen;30;104
17.11.2015 14:12;;Ruhen;0;8
17.11.2015 14:15;;Ruhen;20;72
17.11.2015 14:16;596;Gehen;20;70
17.11.2015 14:23;;Ruhen;70;232
17.11.2015 14:24;;Ruhen;0;8
17.11.2015 14:32;;Ruhen;0;8
17.11.2015 15:30;;Ruhen;0;8
17.11.2015 15:45;;Ruhen;0;8
17.11.2015 16:00;;Ruhen;0;8
17.11.2015 16:15;;Ruhen;0;8
17.11.2015 16:30;;Ruhen;0;8
17.11.2015 20:00;;Ruhen;0;8
17.11.2015 23:00;0;Gehen;;
17.11.2015 23:00;;Ruhen;0;8
18.11.2015 07:00;;Ruhen;0;8
18.11.2015 07:15;;Ruhen;0;8
18.11.2015 07:30;;Ruhen;0;8
18.11.2015 07:45;;Ruhen;0;8
18.11.2015 08:00;;Ruhen;0;8
18.11.2015 19:17;;Ruhen;30;104
18.11.2015 19:18;;Ruhen;0;8
18.11.2015 19:28;;Ruhen;0;8
18.11.2015 20:00;;Ruhen;0;8
18.11.2015 23:00;;Ruhen;0;8
19.11.2015 07:00;;Ruhen;0;8
19.11.2015 07:15;;Ruhen;0;8
19.11.2015 07:30;;Ruhen;0;8
19.11.2015 07:45;;Ruhen;0;8
19.11.2015 08:00;;Ruhen;0;8
19.11.2015 10:04;;Ruhen;40;136
19.11.2015 10:05;;Ruhen;0;8
19.11.2015 10:10;;Ruhen;20;72
19.11.2015 10:11;;Ruhen;0;8
19.11.2015 10:20;;Ruhen;0;8
