Uhrzeit;Schritte;Aktivitätstyp;Intensität;Präzise Intensität
08.05.2016 22:24;38;Gehen;;
08.05.2016 22:24;;7;40;135
08.05.2016 22:24;;7;0;7
08.05.2016 22:31;;7;20;71
08.05.2016 22:34;;7;40;135
08.05.2016 22:39;;7;0;7
08.05.2016 22:49;;7;0;7
08.05.2016 22:59;16;Gehen;20;70
08.05.2016 23:00;;7;40;135
08.05.2016 23:01;;7;0;7
08.05.2016 23:10;;7;0;7
08.05.2016 23:38;;7;20;71
08.05.2016 23:39;46;Gehen;30;102
08.05.2016 23:41;;7;50;167
08.05.2016 23:42;;7;0;7
08.05.2016 23:50;;7;0;7
09.05.2016 00:00;0;Gehen;;
09.05.2016 00:00;;7;0;7
09.05.2016 04:46;;7;0;7
09.05.2016 04:53;;7;20;71
09.05.2016 04:54;;7;0;7
09.05.2016 05:03;;7;0;7
09.05.2016 05:13;;7;40;135
09.05.2016 05:14;9;Gehen;20;70
09.05.2016 05:15;242;Gehen;30;102
09.05.2016 05:17;282;Rennen;40;129
09.05.2016 05:19;126;Gehen;30;102
09.05.2016 05:20;284;Rennen;40;129
09.05.2016 05:22;882;Gehen;30;102
09.05.2016 05:30;9;Gehen;10;38
09.05.2016 05:31;;Ruhen;60;200
09.05.2016 05:34;;Ruhen;0;8
09.05.2016 05:41;57;Gehen;10;38
09.05.2016 05:43;;Ruhen;40;136
09.05.2016 05:45;;Ruhen;0;8
09.05.2016 05:48;;Ruhen;20;72
09.05.2016 05:49;;Ruhen;0;8
09.05.2016 05:50;;Ruhen;20;72
09.05.2016 05:51;;Ruhen;0;8
09.05.2016 05:55;;Ruhen;40;136
09.05.2016 05:56;14;Gehen;0;6
09.05.2016 05:57;;Ruhen;50;168
09.05.2016 05:58;;Ruhen;0;8
09.05.2016 06:38;8;Gehen;20;70
09.05.2016 06:39;;Ruhen;40;136
09.05.2016 06:40;87;Gehen;30;102
09.05.2016 06:41;127;Rennen;30;97
09.05.2016 06:42;1;Gehen;20;70
09.05.2016 06:43;;Ruhen;70;232
09.05.2016 06:44;;Ruhen;0;8
09.05.2016 06:46;;Ruhen;30;104
09.05.2016 06:47;117;Gehen;20;70
09.05.2016 06:49;;Ruhen;50;168
09.05.2016 06:52;;Ruhen;0;8
09.05.2016 06:57;;Ruhen;10;40
09.05.2016 06:58;;Ruhen;0;8
09.05.2016 07:03;794;Gehen;30;102
09.05.2016 07:13;;Ruhen;70;232
09.05.2016 07:14;;Ruhen;0;8
09.05.2016 07:23;;Ruhen;0;8
09.05.2016 08:19;;Ruhen;0;8
09.05.2016 08:23;;Ruhen;40;136
09.05.2016 08:28;;Ruhen;0;8
09.05.2016 08:33;;Ruhen;40;136
09.05.2016 08:33;0;Gehen;;
09.05.2016 08:33;0;Rennen;;
09.05.2016 08:33;2346;Gehen;;
09.05.2016 08:33;693;Rennen;;
09.05.2016 08:33;;Ruhen;30;104
09.05.2016 08:34;0;Gehen;;
09.05.2016 08:34;0;Rennen;;
09.05.2016 08:34;2346;Gehen;;
09.05.2016 08:34;693;Rennen;;
09.05.2016 08:34;;Ruhen;70;232
09.05.2016 08:42;;Ruhen;0;8
09.05.2016 08:51;;Ruhen;0;8
09.05.2016 08:57;;Ruhen;0;8
09.05.2016 09:00;;Ruhen;30;104
09.05.2016 09:00;0;Gehen;;
09.05.2016 09:00;0;Rennen;;
09.05.2016 09:00;2346;Gehen;;
09.05.2016 09:00;693;Rennen;;
09.05.2016 09:00;;Ruhen;40;136
09.05.2016 09:04;0;Gehen;;
09.05.2016 09:04;0;Rennen;;
09.05.2016 09:04;2346;Gehen;;
09.05.2016 09:04;693;Rennen;;
09.05.2016 09:04;;Ruhen;30;104
09.05.2016 09:05;0;Gehen;;
09.05.2016 09:05;0;Rennen;;
09.05.2016 09:05;2346;Gehen;;
09.05.2016 09:05;693;Rennen;;
09.05.2016 09:05;;Ruhen;20;72
09.05.2016 09:06;0;Gehen;;
09.05.2016 09:06;0;Rennen;;
09.05.2016 09:06;2346;Gehen;;
09.05.2016 09:06;693;Rennen;;
09.05.2016 09:06;13;Gehen;20;70
09.05.2016 09:06;;Ruhen;30;104
09.05.2016 09:07;0;Gehen;;
09.05.2016 09:07;0;Rennen;;
09.05.2016 09:07;2359;Gehen;;
09.05.2016 09:07;693;Rennen;;
09.05.2016 09:07;;Ruhen;40;136
09.05.2016 09:07;;Ruhen;0;8
09.05.2016 09:15;;Ruhen;0;8
09.05.2016 09:16;;Ruhen;30;104
09.05.2016 09:16;0;Gehen;;
09.05.2016 09:16;0;Rennen;;
09.05.2016 09:16;2359;Gehen;;
09.05.2016 09:16;693;Rennen;;
09.05.2016 09:16;;Ruhen;30;104
09.05.2016 09:16;0;Gehen;;
09.05.2016 09:16;0;Rennen;;
09.05.2016 09:16;2359;Gehen;;
09.05.2016 09:16;693;Rennen;;
09.05.2016 09:16;;Ruhen;0;8
09.05.2016 09:18;0;Gehen;;
09.05.2016 09:18;0;Rennen;;
09.05.2016 09:18;2359;Gehen;;
09.05.2016 09:18;693;Rennen;;
09.05.2016 09:18;;Ruhen;40;136
09.05.2016 09:19;0;Gehen;;
09.05.2016 09:19;0;Rennen;;
09.05.2016 09:19;2359;Gehen;;
09.05.2016 09:19;693;Rennen;;
09.05.2016 09:19;;Ruhen;40;136
09.05.2016 09:19;;Ruhen;0;8
09.05.2016 09:22;;Ruhen;40;136
09.05.2016 09:23;;Ruhen;0;8
09.05.2016 09:25;;Ruhen;40;136
09.05.2016 09:28;0;Gehen;;
09.05.2016 09:28;0;Rennen;;
09.05.2016 09:28;2359;Gehen;;
09.05.2016 09:28;693;Rennen;;
09.05.2016 09:28;;Ruhen;30;104
09.05.2016 09:30;0;Gehen;;
09.05.2016 09:30;0;Rennen;;
09.05.2016 09:30;2359;Gehen;;
09.05.2016 09:30;693;Rennen;;
09.05.2016 09:30;;Ruhen;30;104
09.05.2016 09:31;0;Gehen;;
09.05.2016 09:31;0;Rennen;;
09.05.2016 09:31;2359;Gehen;;
09.05.2016 09:31;693;Rennen;;
09.05.2016 09:31;;Ruhen;40;136
09.05.2016 09:33;;Ruhen;40;136
09.05.2016 09:34;312;Gehen;20;70
09.05.2016 09:39;51;Gehen;20;70
09.05.2016 09:41;;Ruhen;60;200
09.05.2016 09:42;0;Gehen;;
09.05.2016 09:42;0;Rennen;;
09.05.2016 09:42;2722;Gehen;;
09.05.2016 09:42;693;Rennen;;
09.05.2016 09:42;;Ruhen;20;72
09.05.2016 09:42;0;Gehen;;
09.05.2016 09:42;0;Rennen;;
09.05.2016 09:42;2722;Gehen;;
09.05.2016 09:42;693;Rennen;;
09.05.2016 09:42;;Ruhen;10;40
09.05.2016 09:42;;Ruhen;0;8
09.05.2016 09:43;0;Gehen;;
09.05.2016 09:43;0;Rennen;;
09.05.2016 09:43;2722;Gehen;;
09.05.2016 09:43;693;Rennen;;
09.05.2016 09:43;;Ruhen;10;40
09.05.2016 09:43;;Ruhen;0;8
09.05.2016 09:46;0;Gehen;;
09.05.2016 09:46;0;Rennen;;
09.05.2016 09:46;2722;Gehen;;
09.05.2016 09:46;693;Rennen;;
09.05.2016 09:46;;Ruhen;20;72
09.05.2016 09:46;0;Gehen;;
09.05.2016 09:46;0;Rennen;;
09.05.2016 09:46;2722;Gehen;;
09.05.2016 09:46;693;Rennen;;
09.05.2016 09:46;;Ruhen;0;8
09.05.2016 09:47;0;Gehen;;
09.05.2016 09:47;0;Rennen;;
09.05.2016 09:47;2722;Gehen;;
09.05.2016 09:47;693;Rennen;;
09.05.2016 09:47;;Ruhen;40;136
09.05.2016 09:47;;Ruhen;0;8
09.05.2016 09:59;;Ruhen;0;8
09.05.2016 10:49;;Ruhen;0;8
09.05.2016 11:04;;Ruhen;0;8
09.05.2016 11:08;123;Gehen;20;70
09.05.2016 11:09;62;Gehen;20;70
09.05.2016 11:11;;Ruhen;60;200
09.05.2016 11:12;0;Gehen;;
09.05.2016 11:12;0;Rennen;;
09.05.2016 11:12;2907;Gehen;;
09.05.2016 11:12;693;Rennen;;
09.05.2016 11:12;;Ruhen;40;136
09.05.2016 11:12;19;Gehen;10;38
09.05.2016 11:13;;Ruhen;40;136
09.05.2016 11:15;634;Gehen;20;70
09.05.2016 11:23;;Ruhen;70;232
09.05.2016 11:24;;Ruhen;0;8
09.05.2016 11:27;;Ruhen;20;72
09.05.2016 11:28;;Ruhen;0;8
09.05.2016 11:30;;Ruhen;40;136
09.05.2016 11:33;;Ruhen;0;8
09.05.2016 11:34;;Ruhen;30;104
09.05.2016 11:35;;Ruhen;0;8
09.05.2016 11:37;;Ruhen;50;168
09.05.2016 11:39;56;Gehen;20;70
09.05.2016 11:41;;Ruhen;60;200
09.05.2016 11:42;;Ruhen;0;8
09.05.2016 11:53;;Ruhen;0;8
09.05.2016 12:44;;Ruhen;0;8
09.05.2016 12:59;;Ruhen;0;8
09.05.2016 13:14;;Ruhen;0;8
09.05.2016 13:29;;Ruhen;0;8
09.05.2016 13:44;;Ruhen;0;8
09.05.2016 15:32;199;Gehen;30;102
09.05.2016 15:34;112;Gehen;30;102
09.05.2016 15:36;;Ruhen;60;200
09.05.2016 15:39;;Ruhen;0;8
09.05.2016 15:43;;Ruhen;20;72
09.05.2016 15:43;0;Gehen;;
09.05.2016 15:43;0;Rennen;;
09.05.2016 15:43;3927;Gehen;;
09.05.2016 15:43;693;Rennen;;
09.05.2016 15:43;;Ruhen;40;136
09.05.2016 15:43;65;Gehen;30;102
09.05.2016 15:44;;Ruhen;50;168
09.05.2016 15:45;;Ruhen;0;8
09.05.2016 15:51;;Ruhen;30;104
09.05.2016 15:53;904;Gehen;30;102
09.05.2016 16:01;16;Gehen;20;70
09.05.2016 16:02;;Ruhen;60;200
09.05.2016 16:04;;Ruhen;0;8
09.05.2016 16:06;;Ruhen;20;72
09.05.2016 16:09;23;Gehen;20;70
09.05.2016 16:10;;Ruhen;40;136
09.05.2016 16:11;;Ruhen;0;8
09.05.2016 16:12;;Ruhen;10;40
09.05.2016 16:13;;Ruhen;0;8
09.05.2016 16:14;;Ruhen;10;40
09.05.2016 16:16;;Ruhen;0;8
09.05.2016 16:19;;Ruhen;30;104
09.05.2016 16:21;265;Gehen;30;102
09.05.2016 16:24;;Ruhen;70;232
09.05.2016 16:25;;Ruhen;0;8
09.05.2016 16:28;;Ruhen;40;136
09.05.2016 16:29;;Ruhen;0;8
09.05.2016 16:32;;Ruhen;20;72
09.05.2016 16:34;;Ruhen;0;8
09.05.2016 16:39;;Ruhen;40;136
09.05.2016 16:40;;Ruhen;0;8
09.05.2016 16:45;;Ruhen;10;40
09.05.2016 16:46;;Ruhen;0;8
09.05.2016 16:49;;Ruhen;30;104
09.05.2016 16:50;;Ruhen;0;8
09.05.2016 17:13;;Ruhen;0;8
09.05.2016 17:24;;Ruhen;30;104
09.05.2016 17:25;44;Gehen;10;38
09.05.2016 17:28;;Ruhen;60;200
09.05.2016 17:29;;Ruhen;0;8
09.05.2016 17:31;;Ruhen;10;40
09.05.2016 17:32;;Ruhen;0;8
09.05.2016 17:46;;Ruhen;0;8
09.05.2016 17:51;;Ruhen;50;168
09.05.2016 17:52;144;Gehen;20;70
09.05.2016 17:53;514;Gehen;30;102
09.05.2016 17:59;;Ruhen;70;232
09.05.2016 18:00;;Ruhen;0;8
09.05.2016 18:01;;Ruhen;20;72
09.05.2016 18:04;;Ruhen;0;8
09.05.2016 18:18;87;Gehen;20;70
09.05.2016 18:20;;Ruhen;60;200
09.05.2016 18:21;;Ruhen;0;8
09.05.2016 18:25;;Ruhen;10;40
09.05.2016 18:26;;Ruhen;0;8
09.05.2016 18:30;1466;Gehen;30;102
09.05.2016 18:45;;Ruhen;70;232
09.05.2016 18:46;;Ruhen;0;8
09.05.2016 18:55;;Ruhen;0;8
09.05.2016 19:42;;Ruhen;0;8
09.05.2016 19:54;;Ruhen;0;8
09.05.2016 20:09;;Ruhen;0;8
09.05.2016 20:16;;Ruhen;30;104
09.05.2016 20:18;;Ruhen;0;8
09.05.2016 20:24;;Ruhen;0;8
09.05.2016 20:27;;Ruhen;0;8
09.05.2016 20:39;;Ruhen;0;8
09.05.2016 20:54;;Ruhen;0;8
09.05.2016 21:00;;Ruhen;0;8
09.05.2016 21:17;;Ruhen;30;104
